Variable,Value,Date
Variable1,P.Od237,2024-04-01 16:32:00
Variable2,ECO,2024-04-01 16:32:00
Variable3,-20°C,2024-04-01 16:32:00
Variable4,L,2024-04-01 16:32:00
Variable5,-20°C,2024-04-01 16:32:00
Variable6,dY: 1.0,2024-04-01 16:32:00
Variable7,A1-FF2209285188,2024-04-01 16:32:00
Variable8,Xv: 0.033,2024-04-01 16:32:00
Variable9,Lock,2024-04-01 16:32:00
Variable10,Current temp:7C,2024-04-01 16:32:00
Variable11,13.4V,2024-04-01 16:32:00
Variable12,100%,2024-04-01 16:32:00
Variable13,Yv:0.033 vPrs: 1.0,2024-04-01 16:32:00
Variable14,o E1LTE2,2024-04-01 16:32:00
Variable15,7°C,2024-04-01 16:32:00
Variable16,M,2024-04-01 16:32:00
Variable17,C,2024-04-01 16:32:00
Variable18,°C/F,2024-04-01 16:32:00
Variable19,20°C,2024-04-01 16:32:00
Variable20,20°C,2024-04-01 16:32:00
Variable21,I,2024-04-01 16:32:00
Variable22,Size: 1.0,2024-04-01 16:32:00
Variable23,S470-,2024-04-01 16:32:00
Variable24,Unpairing,2024-04-01 16:32:00
Variable25,H,2024-04-01 16:32:00
Variable1,L,2024-04-01 16:32:17
Variable2,-20°C,2024-04-01 16:32:17
Variable3,dY: 1.0,2024-04-01 16:32:17
Variable4,A1-FF2209285188,2024-04-01 16:32:17
Variable5,Xv: 0.033,2024-04-01 16:32:17
Variable6,Lock,2024-04-01 16:32:17
Variable7,Current temp:7C,2024-04-01 16:32:17
Variable8,13.4V,2024-04-01 16:32:17
Variable9,100%,2024-04-01 16:32:17
Variable10,Yv:0.033 vPrs: 1.0,2024-04-01 16:32:17
Variable11,o E1LTE2,2024-04-01 16:32:17
Variable12,7°C,2024-04-01 16:32:17
Variable13,M,2024-04-01 16:32:17
Variable14,C,2024-04-01 16:32:17
Variable15,°C/F,2024-04-01 16:32:17
Variable16,20°C,2024-04-01 16:32:17
Variable17,20°C,2024-04-01 16:32:17
Variable1,L,2024-04-01 16:32:22
Variable2,-20°C,2024-04-01 16:32:22
Variable3,dY: 1.0,2024-04-01 16:32:22
Variable4,M,2024-04-01 16:32:22
Variable5,C,2024-04-01 16:32:22
Variable6,°C/F,2024-04-01 16:32:22
Variable7,20°C,2024-04-01 16:32:22
Variable8,20°C,2024-04-01 16:32:22
Variable1,L,2024-04-01 16:32:22
Variable2,-20°C,2024-04-01 16:32:22
Variable3,dY: 1.0,2024-04-01 16:32:22
Variable4,M,2024-04-01 16:32:22
Variable5,C,2024-04-01 16:32:22
Variable6,°C/F,2024-04-01 16:32:22
Variable7,20°C,2024-04-01 16:32:22
Variable8,20°C,2024-04-01 16:32:22
Variable1,L,2024-04-01 16:32:23
Variable2,-20°C,2024-04-01 16:32:23
Variable3,dY: 1.0,2024-04-01 16:32:23
Variable4,M,2024-04-01 16:32:23
Variable5,C,2024-04-01 16:32:23
Variable6,°C/F,2024-04-01 16:32:23
Variable7,20°C,2024-04-01 16:32:23
Variable8,20°C,2024-04-01 16:32:23
Variable1,L,2024-04-01 16:32:23
Variable2,-20°C,2024-04-01 16:32:23
Variable3,dY: 1.0,2024-04-01 16:32:23
Variable4,M,2024-04-01 16:32:23
Variable5,C,2024-04-01 16:32:23
Variable6,°C/F,2024-04-01 16:32:23
Variable7,20°C,2024-04-01 16:32:23
Variable8,20°C,2024-04-01 16:32:23
Variable1,L,2024-04-01 16:32:23
Variable2,-20°C,2024-04-01 16:32:23
Variable3,dY: 1.0,2024-04-01 16:32:23
Variable4,M,2024-04-01 16:32:23
Variable5,C,2024-04-01 16:32:23
Variable6,°C/F,2024-04-01 16:32:23
Variable7,20°C,2024-04-01 16:32:23
Variable8,20°C,2024-04-01 16:32:23
Variable1,L,2024-04-01 16:32:23
Variable2,-20°C,2024-04-01 16:32:23
Variable3,dY: 1.0,2024-04-01 16:32:23
Variable4,M,2024-04-01 16:32:23
Variable5,C,2024-04-01 16:32:23
Variable6,°C/F,2024-04-01 16:32:23
Variable7,20°C,2024-04-01 16:32:23
Variable8,20°C,2024-04-01 16:32:23
Variable1,L,2024-04-01 16:32:24
Variable2,-20°C,2024-04-01 16:32:24
Variable3,dY: 1.0,2024-04-01 16:32:24
Variable4,M,2024-04-01 16:32:24
Variable5,C,2024-04-01 16:32:24
Variable6,°C/F,2024-04-01 16:32:24
Variable7,20°C,2024-04-01 16:32:24
Variable8,20°C,2024-04-01 16:32:24
Variable1,L,2024-04-01 16:32:24
Variable2,-20°C,2024-04-01 16:32:24
Variable3,dY: 1.0,2024-04-01 16:32:24
Variable4,M,2024-04-01 16:32:24
Variable5,C,2024-04-01 16:32:24
Variable6,°C/F,2024-04-01 16:32:24
Variable7,20°C,2024-04-01 16:32:24
Variable8,20°C,2024-04-01 16:32:24
Variable1,L,2024-04-01 16:32:24
Variable2,-20°C,2024-04-01 16:32:24
Variable3,dY: 1.0,2024-04-01 16:32:24
Variable4,M,2024-04-01 16:32:24
Variable5,C,2024-04-01 16:32:24
Variable6,°C/F,2024-04-01 16:32:24
Variable7,20°C,2024-04-01 16:32:24
Variable8,20°C,2024-04-01 16:32:24
Variable1,P.Od237,2024-04-01 16:32:53
Variable2,ECO,2024-04-01 16:32:53
Variable3,-20°C,2024-04-01 16:32:53
Variable4,L,2024-04-01 16:32:53
Variable5,-20°C,2024-04-01 16:32:53
Variable6,dY: 1.0,2024-04-01 16:32:53
Variable7,A1-FF2209285188,2024-04-01 16:32:53
Variable8,Xv: 0.033,2024-04-01 16:32:53
Variable9,Lock,2024-04-01 16:32:53
Variable10,Current temp:7C,2024-04-01 16:32:53
Variable11,13.4V,2024-04-01 16:32:53
Variable12,100%,2024-04-01 16:32:53
Variable13,Yv:0.033 vPrs: 1.0,2024-04-01 16:32:53
Variable14,o E1LTE2,2024-04-01 16:32:53
Variable15,7°C,2024-04-01 16:32:53
Variable16,M,2024-04-01 16:32:53
Variable17,C,2024-04-01 16:32:53
Variable18,°C/F,2024-04-01 16:32:53
Variable19,20°C,2024-04-01 16:32:53
Variable20,20°C,2024-04-01 16:32:53
Variable21,I,2024-04-01 16:32:53
Variable22,Size: 1.0,2024-04-01 16:32:53
Variable23,S470-,2024-04-01 16:32:53
Variable24,Unpairing,2024-04-01 16:32:53
Variable25,H,2024-04-01 16:32:53
